seed;-1933246571
size;100,9767;101,2796
number of AGVs;27
number of APs;4
number of obstacles;96

Logs:
2,984451;100;0
5,988144;100;0
9,011288;100;0
12,02926;88,88889;0
15,04481;85,18519;0
18,04981;81,48148;0
21,06237;81,48148;0
24,08422;81,48148;0
27,09225;81,48148;0
30,10884;81,48148;0
33,11148;81,48148;0
36,1154;81,48148;0
39,12832;81,48148;0
42,1342;74,07407;0
45,14018;51,85185;0
48,1419;74,07407;0
51,15591;81,48148;0
54,15876;81,48148;0
57,16969;81,48148;0
60,18817;81,48148;0
63,20905;81,48148;0
66,23061;81,48148;0
69,23451;81,48148;0
72,23662;81,48148;0
75,25352;77,77778;1,771789
78,2588;77,77778;1,703749
81,28172;81,48148;1,640385
84,28297;81,48148;1,581972
87,29995;77,77778;3,054603
90,33797;55,55556;2,951878
93,33976;77,77778;4,285419
96,35912;77,77778;5,534851
99,36536;81,48148;5,367397
102,3831;81,48148;5,209195
105,4055;81,48148;6,324778
108,4155;81,48148;6,149181
111,4772;81,48148;7,176354
114,4783;81,48148;6,988224
117,49;81,48148;6,809089
120,4972;66,66666;6,639156
123,5064;66,66666;7,556962
126,5167;66,66666;7,377155
129,5327;62,96296;8,23473
132,5367;55,55556;8,048083
135,5545;59,25926;7,868914
138,5723;59,25926;7,697544
141,5826;70,37037;7,533883
144,5933;70,37037;7,377015
147,6135;70,37037;9,0326
150,6306;70,37037;9,736846
153,6501;70,37037;10,41327
156,664;70,37037;10,21294
159,6707;62,96296;10,85568
162,6763;59,25926;10,6551
165,6902;59,25926;10,46129
168,7075;62,96296;11,06452
171,7266;62,96296;12,42285
174,7307;70,37037;12,20927
177,7449;70,37037;12,00222
180,757;66,66666;12,53985
183,7676;74,07407;12,33442
186,7898;77,77778;12,84867
189,8084;48,14815;12,64433
192,8195;51,85185;12,44687
195,8265;44,44444;12,93662
198,8295;51,85185;13,41182
201,8448;51,85185;13,87205
204,8475;44,44444;13,66871
207,8608;81,48148;13,47055
210,8801;88,88889;13,90996
213,8802;81,48148;14,33825
216,8867;70,37037;14,13949
219,8869;85,18519;14,55293
222,9105;62,96296;14,95369
225,9385;59,25926;14,75328
228,9394;59,25926;14,5599
231,9526;66,66666;14,37075
235,1407;85,18519;15,30998
238,1584;74,07407;15,11599
241,1644;74,07407;16,03332
244,1693;70,37037;15,83601
247,179;74,07407;15,64319
250,2013;74,07407;15,45422
253,2077;74,07407;16,32389
256,218;77,77778;16,1321
259,2234;77,77778;15,94506
262,2239;77,77778;15,76261
265,2447;77,77778;15,58309
268,2482;77,77778;15,40861
271,2789;77,77778;15,23647
274,2873;77,77778;15,06936
277,3098;77,77778;14,90511
280,3438;77,77778;15,21941
283,3556;77,77778;15,05764
286,3611;74,07407;14,8996
289,3804;74,07407;14,74415
292,3913;74,07407;14,59232
295,4112;74,07407;14,89449
298,4296;74,07407;15,19063
301,461;74,07407;15,03788
304,4675;74,07407;14,88938
307,4863;70,37037;15,17683
310,4997;51,85185;15,45895
313,5135;66,66666;16,16092
316,5591;55,55556;16,42663
319,5767;55,55556;16,68874
322,5916;55,55556;16,53277
325,6021;51,85185;16,37991
328,6171;55,55556;16,22963
331,6387;62,96296;16,4838
334,6575;62,96296;16,33511
337,6818;62,96296;16,58366
340,6888;62,96296;17,22002
343,6938;62,96296;18,23329
346,7109;62,96296;18,45918
349,7134;62,96296;18,3007
352,7301;59,25926;18,14418
355,7788;59,25926;17,9887
358,7926;59,25926;17,8376
361,8005;59,25926;18,05783
364,8071;59,25926;17,90901
367,8222;48,14815;17,7622
370,8281;48,14815;17,61823
373,8416;48,14815;17,47621
376,8575;51,85185;17,33635
379,8757;48,14815;17,19861
382,8977;48,14815;17,75931
385,9195;48,14815;17,96575
388,9458;51,85185;17,82596
391,9496;48,14815;17,68935
394,968;40,74074;17,55416
397,9902;40,74074;17,42086
400,9975;44,44444;17,29021
404,0161;44,44444;17,16103
407,0278;48,14815;17,36163
410,045;40,74074;17,88422
413,0581;37,03704;17,75376
416,0582;33,33333;17,62574
419,1063;40,74074;18,13382
422,1357;44,44444;18,00369
425,1396;55,55556;17,87648
428,1583;48,14815;18,06186
431,1772;48,14815;17,93539
434,18;51,85185;17,81135
437,1861;51,85185;17,99386
440,1972;51,85185;17,87078
443,1986;55,55556;17,74975
446,2037;55,55556;17,92903
449,2338;55,55556;17,8081
452,2402;55,55556;17,98454
455,2502;59,25926;17,86563
458,2588;55,55556;17,74834
461,2705;59,25926;17,63246
464,2928;59,25926;17,51768
467,2979;59,25926;17,97569
470,3118;59,25926;17,86049
473,3155;55,55556;17,74715
476,3347;55,55556;17,63466
479,3366;55,55556;17,52422
482,3438;59,25926;17,69139
485,361;70,37037;17,58142
488,3628;66,66666;17,74637
491,3721;66,66666;17,90904
494,3879;66,66666;18,06948
497,4029;66,66666;17,95995
500,4167;66,66666;18,38468
503,4388;62,96296;18,27432
506,4459;66,66666;18,16581
509,4655;55,55556;18,05814
512,4827;55,55556;17,95183
515,5025;55,55556;18,10531
518,5154;66,66666;18,00011
521,5416;66,66666;17,89566
524,5605;66,66666;18,04685
527,5642;62,96296;17,9441
530,6108;62,96296;18,34364
533,6267;62,96296;18,23997
536,6304;59,25926;18,6348
539,6362;55,55556;18,531
542,6599;55,55556;18,42775
545,6799;55,55556;18,57011
548,6802;55,55556;18,46856
551,6841;55,55556;18,85137
554,6989;55,55556;18,74891
557,72;55,55556;18,64735
560,7373;55,55556;18,54701
563,7444;55,55556;18,44808
566,7451;55,55556;18,3504
569,7599;55,55556;18,2533
572,781;55,55556;18,38981
575,7871;55,55556;18,52537
578,7898;55,55556;18,88999
581,8066;55,55556;19,25038
584,8181;55,55556;19,37925
587,8259;55,55556;19,73374
590,8448;55,55556;19,6329
593,8512;55,55556;19,53351
596,8713;44,44444;19,43468
599,8742;55,55556;19,33739
602,8804;55,55556;19,24096
605,8967;55,55556;19,36524
608,8969;55,55556;19,26982
611,9096;55,55556;19,39284
614,9276;55,55556;19,51449
617,948;55,55556;19,41911
620,9606;48,14815;19,3249
623,972;44,44444;19,23163
626,9774;55,55556;19,13944
629,9952;48,14815;19,25941
633,0155;51,85185;19,16751
636,0303;55,55556;19,07666
639,0408;55,55556;18,98679
642,061;51,85185;18,89748
645,0645;55,55556;18,80949
648,0765;55,55556;19,13354
651,0836;55,55556;19,04517
654,1049;55,55556;19,16105
657,1224;55,55556;19,07306
660,1243;55,55556;18,98632
663,1323;51,85185;19,10127
666,1453;51,85185;19,01487
