seed;-1933246571
size;100,9767;101,2796
number of AGVs;27
number of APs;4
number of obstacles;96

Logs:
3,001683;100;0
6,011785;100;0
9,076621;100;0
12,09109;88,88889;0
15,09276;85,18519;0
18,10904;81,48148;0
21,11942;81,48148;0
24,12591;85,18519;0
27,14838;85,18519;0
30,1558;81,48148;0
33,16822;81,48148;0
36,17936;81,48148;0
39,18197;81,48148;0
42,18596;77,77778;0
45,20449;55,55556;0
48,22243;77,77778;0
51,24484;77,77778;0
54,26631;77,77778;0
57,27773;81,48148;0
60,27843;81,48148;0
63,28919;81,48148;0
66,30514;81,48148;0
69,32542;81,48148;0
72,33243;81,48148;0
75,34591;77,77778;1,769616
78,36822;77,77778;1,70137
81,37415;81,48148;1,638522
84,39356;81,48148;3,159799
87,39873;77,77778;4,576725
90,43094;59,25926;4,423265
93,44575;77,77778;7,134264
96,46863;81,48148;6,910709
99,47586;85,18519;6,701794
102,4806;81,48148;6,505295
105,4948;81,48148;7,583313
108,51;81,48148;8,601355
111,5533;81,48148;9,561944
114,5667;81,48148;10,47425
117,5876;81,48148;12,47297
120,5991;81,48148;13,2671
123,6109;81,48148;12,94384
126,6147;62,96296;12,63676
129,6254;77,77778;12,34326
132,6481;74,07407;12,06199
135,657;77,77778;12,77733
138,6587;77,77778;13,46231
141,6704;74,07407;13,17612
144,682;88,88889;12,90186
147,6982;88,88889;12,63839
150,7164;88,88889;13,26995
153,724;88,88889;13,87769
156,7479;81,48148;13,60997
159,7686;81,48148;14,18719
162,7845;81,48148;14,74342
165,787;81,48148;15,28065
168,8086;81,48148;15,00713
171,8157;81,48148;15,52051
174,8488;88,88889;15,25127
177,8657;88,88889;16,49184
180,8873;88,88889;16,21636
183,8916;88,88889;15,95143
186,9106;88,88889;15,69378
189,9429;92,59259;15,44324
192,9532;88,88889;15,20231
195,962;55,55556;14,96889
198,963;55,55556;14,74311
201,9764;55,55556;14,52315
204,9779;77,77778;14,31049
207,9937;66,66666;14,74404
210,9948;62,96296;15,16625
214,0244;59,25926;14,95157
217,0509;81,48148;15,35738
220,0659;96,2963;15,75285
223,0849;81,48148;16,13736
226,0901;48,14815;16,51259
229,104;48,14815;16,29536
232,125;48,14815;16,08329
235,1385;48,14815;15,87717
238,1725;48,14815;15,67491
241,1776;44,44444;15,4796
244,1891;51,85185;15,83473
247,2093;51,85185;15,64126
250,2097;48,14815;16,51948
253,2276;48,14815;16,84914
256,2337;48,14815;16,65147
259,2517;48,14815;16,45762
262,2598;96,2963;17,28566
265,2764;96,2963;17,59172
268,2789;55,55556;17,39483
271,2881;48,14815;18,18485
274,3101;51,85185;17,98451
277,3316;55,55556;18,26935
280,334;62,96296;18,07368
283,3593;40,74074;17,88072
286,3735;40,74074;17,69251
289,3904;44,44444;17,50807
292,3962;40,74074;17,32809
295,4106;66,66666;17,15127
298,4131;92,59259;16,9787
301,4435;37,03704;16,80802
304,4498;37,03704;16,64204
307,4688;33,33333;16,47864
310,4734;33,33333;16,31916
313,4861;40,74074;16,16233
316,4991;55,55556;16,00847
319,5121;96,2963;15,85751
322,5137;96,2963;16,12334
325,5202;96,2963;16,79363
328,5368;96,2963;16,63944
331,5433;96,2963;17,29286
334,5622;96,2963;17,13682
337,5634;96,2963;16,98446
340,5814;96,2963;16,83396
343,5889;92,59259;16,68661
346,6047;77,77778;17,31078
349,6148;77,77778;17,16174
352,6331;74,07407;17,01485
355,6458;74,07407;16,87072
358,6509;74,07407;16,72936
361,6584;74,07407;16,95891
364,6589;74,07407;16,81937
367,6838;74,07407;16,681
370,6995;81,48148;16,90498
373,7068;81,48148;16,76894
376,7252;81,48148;16,63459
379,7424;81,48148;17,20465
382,7619;77,77778;17,41727
385,7666;77,77778;17,62724
388,7863;77,77778;17,83328
391,806;77,77778;17,69583
394,8183;81,48148;17,89853
397,8242;85,18519;18,09845
400,8288;85,18519;18,29543
403,8594;85,18519;18,15813
406,8811;81,48148;18,35098
409,8855;66,66666;18,21647
412,9055;85,18519;18,72906
415,9106;85,18519;18,91432
418,9106;85,18519;19,73372
421,9284;81,48148;19,90859
424,9454;81,48148;19,76724
427,9909;77,77778;19,93812
431,0099;85,18519;20,10781
434,0258;92,59259;20,27529
437,0463;88,88889;20,13517
440,0491;81,48148;20,30076
443,0632;81,48148;20,16266
446,0718;74,07407;20,02667
449,0878;62,96296;20,18908
452,098;62,96296;20,34957
455,1014;66,66666;20,21527
458,1154;70,37037;20,08228
461,1327;70,37037;19,95087
464,14;70,37037;19,82161
467,156;70,37037;19,97905
470,1564;70,37037;19,85155
473,1646;74,07407;19,72534
476,1906;74,07407;19,59999
479,2039;74,07407;19,75499
482,2081;74,07407;19,63191
485,209;74,07407;19,78529
488,2327;74,07407;19,93585
491,2359;74,07407;20,0854
494,292;74,07407;19,96121
497,3022;70,37037;20,1085
500,3088;66,66666;19,98766
503,3245;62,96296;19,8679
506,3454;66,66666;20,01269
509,3454;66,66666;20,15659
512,368;59,25926;20,03768
515,3867;62,96296;20,69644
518,3951;62,96296;20,57632
521,401;66,66666;20,71342
524,4232;66,66666;20,8483
527,4318;66,66666;20,72938
530,4433;66,66666;20,61169
533,4541;66,66666;20,7453
536,4554;81,48148;20,62924
539,4677;85,18519;20,76121
542,4759;77,77778;20,64608
545,4915;70,37037;20,53194
548,5115;59,25926;20,4189
551,5145;62,96296;20,30772
554,537;62,96296;20,19703
557,5622;55,55556;20,08745
560,5665;48,14815;20,21764
563,5782;37,03704;20,1096
566,588;48,14815;20,00278
569,5939;48,14815;20,36539
572,6058;66,66666;20,49112
575,629;74,07407;20,3835
578,6295;74,07407;20,50823
581,63;70,37037;20,63167
584,6495;77,77778;20,52512
587,6598;74,07407;20,64687
590,6632;70,37037;20,76761
593,6737;77,77778;20,6623
596,6971;62,96296;20,55761
599,7069;44,44444;20,45444
602,7274;51,85185;20,35193
605,7279;66,66666;20,25112
608,7534;66,66666;20,15047
611,7756;66,66666;20,05092
614,7776;66,66666;19,95301
617,7866;66,66666;19,85583
620,8087;66,66666;19,97395
623,816;66,66666;20,09139
626,8161;66,66666;20,20795
629,8258;66,66666;20,11138
632,8425;66,66666;20,01551
635,864;66,66666;20,13009
638,8838;66,66666;20,03494
641,9025;66,66666;19,94072
644,9103;66,66666;19,84772
647,9249;66,66666;20,16694
650,9416;66,66666;20,07349
653,9427;70,37037;19,98136
656,9568;70,37037;20,2956
659,9659;70,37037;20,20306
662,9814;70,37037;20,11117
665,9952;70,37037;20,02016
669,0127;70,37037;20,32846
