seed;-1933246571
size;100,9767;101,2796
number of AGVs;27
number of APs;4
number of obstacles;96

Logs:
2,983173;62,96296;0
6,006522;62,96296;0
9,029733;62,96296;0
12,03043;62,96296;0
15,0458;62,96296;0
18,04597;62,96296;0
21,05015;62,96296;0
24,06834;62,96296;0
27,07094;62,96296;0
30,095;59,25926;0
33,11119;59,25926;0
36,1321;59,25926;0
39,13537;59,25926;0
42,14025;59,25926;0
45,15994;55,55556;0
48,16264;59,25926;0
51,17004;59,25926;0
54,17211;55,55556;0
57,20613;55,55556;0
60,23076;55,55556;0
63,23159;55,55556;2,108651
66,2683;51,85185;2,012023
69,27287;51,85185;1,924756
72,28907;51,85185;1,844447
75,29243;48,14815;3,541746
78,29401;48,14815;3,405966
81,29958;48,14815;4,920075
84,31316;44,44444;4,744218
87,32043;44,44444;4,580829
90,32162;44,44444;5,904825
93,33156;40,74074;5,714394
96,33963;40,74074;5,53597
99,34299;48,14815;5,368606
102,3587;44,44444;5,210433
105,3707;44,44444;6,326867
108,3906;48,14815;7,380713
111,3946;55,55556;8,378623
114,4025;51,85185;10,48928
117,4183;51,85185;10,21987
120,4752;48,14815;11,06728
123,481;44,44444;10,79789
126,5005;48,14815;10,54014
129,5126;44,44444;10,29501
132,5265;44,44444;10,06088
135,5353;40,74074;11,80504
138,552;40,74074;12,51034
141,5641;48,14815;12,24416
144,5812;44,44444;11,98865
147,5865;40,74074;12,64795
150,6097;40,74074;13,27936
153,6305;40,74074;13,01825
156,65;48,14815;13,61847
159,6584;44,44444;13,36186
162,6599;37,03704;13,1153
165,6736;37,03704;12,87672
168,6757;40,74074;12,64754
171,6846;37,03704;13,2025
174,6979;40,74074;13,738
177,6989;29,62963;13,50599
180,721;25,92593;13,28014
183,7262;22,22222;13,78863
186,7458;33,33333;13,56568
189,761;37,03704;13,35012
192,7806;37,03704;13,14102
195,7856;33,33333;13,62034
198,8073;29,62963;13,41332
201,8188;33,33333;13,21317
204,8255;33,33333;13,01921
207,8419;37,03704;12,83026
210,8712;37,03704;12,64595
213,8836;33,33333;13,09123
216,9101;29,62963;12,90857
219,9178;37,03704;12,73203
222,9256;37,03704;12,56025
225,9481;37,03704;12,98233
228,9626;37,03704;12,81141
231,9684;40,74074;12,6454
234,9801;37,03704;13,05075
237,9926;37,03704;12,88555
241,013;37,03704;13,27729
244,0213;37,03704;13,11361
247,032;37,03704;12,95379
250,0415;33,33333;12,79788
253,0548;40,74074;13,17238
256,0685;37,03704;14,05874
259,0838;37,03704;14,40975
262,0905;37,03704;14,24444
265,0952;37,03704;14,08299
268,1063;37,03704;13,92482
271,1205;33,33333;13,77001
274,1451;37,03704;14,10445
277,1608;33,33333;14,43205
280,1831;37,03704;14,27638
283,2076;40,74074;14,59472
286,2087;40,74074;14,90754
289,2245;37,03704;14,75209
292,2514;37,03704;14,5993
295,2519;37,03704;14,90253
298,2644;33,33333;14,75201
301,2802;37,03704;14,60435
304,2965;37,03704;14,45958
307,2989;33,33333;14,31831
310,3062;33,33333;14,17954
313,3086;33,33333;14,46923
316,3219;37,03704;14,33139
319,3423;37,03704;14,19584
322,3502;37,03704;14,06338
325,3575;37,03704;13,93339
328,3777;37,03704;14,21128
331,3929;40,74074;14,08197
334,4088;33,33333;13,95498
337,4285;29,62963;14,62038
340,4385;33,33333;14,49111
343,5046;29,62963;14,74992
346,5142;33,33333;14,62182
349,5233;33,33333;14,8774
352,5371;37,03704;15,12843
355,5587;40,74074;15,37486
358,5823;40,74074;15,61705
361,5853;40,74074;15,48736
364,6115;44,44444;15,35882
367,6283;37,03704;15,23278
370,6317;37,03704;15,10934
373,6532;33,33333;15,344
376,6689;37,03704;15,22115
379,6716;40,74074;15,10077
382,69;40,74074;15,33007
385,6965;40,74074;15,21058
388,7057;40,74074;15,09282
391,7138;37,03704;14,97692
394,7242;37,03704;14,8627
397,7289;37,03704;14,75042
400,7495;37,03704;14,97194
403,7526;37,03704;14,86059
406,7656;40,74074;14,75051
409,7865;37,03704;14,64177
412,8022;37,03704;14,8578
415,8136;37,03704;14,7502
418,8315;40,74074;14,64391
421,8526;37,03704;15,17118
424,8602;37,03704;15,06378
427,8676;37,03704;15,26952
430,8788;37,03704;15,47225
433,8892;37,03704;15,36491
436,9084;37,03704;15,5639
439,9264;33,33333;15,76021
442,9315;37,03704;15,65329
445,9339;40,74074;15,5479
448,9445;40,74074;15,44363
451,9581;29,62963;15,34066
454,9771;33,33333;15,23886
457,9827;33,33333;15,13885
461,0044;29,62963;15,03962
464,0125;29,62963;14,94213
467,014;33,33333;14,84609
470,0313;33,33333;14,75079
473,048;37,03704;14,65672
476,0774;37,03704;14,56346
479,0826;33,33333;14,4721
482,1035;33,33333;14,93455
485,1202;33,33333;14,84168
488,1508;33,33333;14,74954
491,1552;33,33333;14,93079
494,1709;33,33333;14,83967
497,1899;33,33333;14,74956
500,2497;29,62963;14,65935
503,2694;29,62963;14,83632
506,2927;29,62963;14,74773
509,3044;29,62963;14,92231
512,3203;29,62963;15,09473
515,3324;29,62963;15,0065
518,3393;37,03704;15,17667
521,3422;37,03704;15,08926
524,3596;33,33333;15,00243
527,3679;37,03704;14,91685
530,3889;37,03704;14,83188
533,3915;33,33333;14,74839
536,4039;33,33333;14,66556
539,4201;33,33333;14,83074
542,4269;29,62963;14,99434
545,4304;29,62963;14,91177
548,4617;25,92593;14,82935
551,4729;25,92593;14,99016
554,4746;25,92593;14,90901
557,4913;25,92593;14,82833
560,4996;25,92593;14,74875
563,5226;25,92593;14,90623
566,5363;25,92593;15,06229
569,5553;25,92593;15,21655
572,5586;22,22222;15,13673
575,5605;29,62963;15,05779
578,5712;18,51852;14,97943
581,5751;29,62963;14,90206
584,5948;25,92593;14,82508
587,6066;29,62963;14,7491
590,6282;33,33333;14,89939
593,6349;29,62963;15,04853
596,6548;22,22222;14,97236
599,665;22,22222;14,89721
602,6705;22,22222;14,82292
605,6877;18,51852;14,74907
608,689;14,81481;14,67635
611,711;14,81481;14,82181
614,7319;14,81481;14,74898
617,7504;14,81481;14,67691
620,7684;18,51852;14,60555
623,7792;22,22222;14,53506
626,7823;22,22222;14,46542
629,7928;22,22222;14,39627
632,7969;25,92593;14,53863
635,801;22,22222;14,46994
638,8022;22,22222;14,40195
641,8185;22,22222;14,33427
644,8294;22,22222;14,26734
647,8465;22,22222;14,2009
650,8621;25,92593;14,1351
653,8817;22,22222;14,27373
656,8978;22,22222;14,2082
659,9022;22,22222;14,14351
662,9212;22,22222;14,0791
