seed;-1933246571
size;100,9767;101,2796
number of AGVs;27
number of APs;4
number of obstacles;96

Logs:
2,985364;100;0
5,994644;100;0
9,014689;100;0
12,03232;88,88889;0
15,0325;85,18519;0
18,03907;81,48148;0
21,03991;81,48148;0
24,06273;81,48148;0
27,08796;81,48148;0
30,10323;81,48148;0
33,10842;81,48148;0
36,1123;81,48148;0
39,11681;81,48148;0
42,13691;81,48148;0
45,14459;51,85185;0
48,14627;81,48148;0
51,15862;81,48148;0
54,18007;81,48148;0
57,18329;81,48148;0
60,20607;81,48148;0
63,21769;81,48148;0
66,23281;81,48148;0
69,25156;81,48148;0
72,27293;81,48148;0
75,28284;77,77778;1,771098
78,28557;77,77778;1,703166
81,30819;81,48148;1,639851
84,31766;81,48148;1,581322
87,34023;77,77778;3,053194
90,35312;55,55556;2,951383
93,36996;81,48148;4,284033
96,38567;81,48148;5,533326
99,39125;81,48148;5,365999
102,4141;81,48148;5,207618
105,4142;81,48148;6,324262
108,4341;81,48148;6,14813
111,4456;81,48148;7,178389
114,4713;88,88889;6,98865
117,4728;88,88889;7,945101
120,5009;88,88889;8,851938
123,5321;88,88889;8,63473
126,546;85,18519;8,42908
129,5672;81,48148;9,261604
132,5799;77,77778;9,051143
135,5997;77,77778;10,81615
138,61;77,77778;10,58125
141,6124;77,77778;10,35691
144,6138;81,48148;11,06395
147,6191;81,48148;10,83871
150,6343;81,48148;10,62175
153,6485;81,48148;13,01673
156,6601;81,48148;13,61759
159,6771;81,48148;14,19531
162,6931;81,48148;15,57124
165,7166;81,48148;16,09173
168,7181;81,48148;17,386
171,7279;81,48148;17,08129
174,731;74,07407;16,78771
177,742;74,07407;16,50332
180,7749;66,66666;16,22645
183,8059;66,66666;15,95887
186,8221;66,66666;16,41491
189,8273;66,66666;16,15504
192,8462;74,07407;16,59354
195,8768;74,07407;17,0175
198,8938;74,07407;16,75936
201,8974;74,07407;17,17043
204,9068;66,66666;16,91826
207,9145;66,66666;17,9561
210,9216;66,66666;17,7001
213,9569;66,66666;17,449
216,9656;74,07407;17,20703
219,978;66,66666;17,57751
222,9799;66,66666;18,5368
225,9866;62,96296;18,88017
228,9914;66,66666;18,63244
232,0502;70,37037;18,38682
235,0654;70,37037;18,71819
238,0849;74,07407;18,4808
241,0929;70,37037;18,25023
244,0958;66,66666;18,57194
247,0982;66,66666;18,34628
250,1106;66,66666;18,12531
253,1209;66,66666;18,96327
256,1406;62,96296;18,73971
259,1594;59,25926;18,52142
262,1672;59,25926;18,30893
265,187;59,25926;18,60322
268,2145;59,25926;18,39324
271,2384;59,25926;19,17133
274,2549;59,25926;19,44663
277,2812;59,25926;19,71524
280,2996;59,25926;19,50294
283,3208;59,25926;19,29497
286,3211;55,55556;19,09278
289,3391;37,03704;18,89363
292,3548;40,74074;18,69874
295,3696;40,74074;18,50789
298,3772;44,44444;18,76819
301,395;44,44444;18,58027
304,4082;44,44444;18,39635
307,4155;44,44444;18,21639
310,4359;44,44444;18,46865
313,438;48,14815;18,29176
316,4616;44,44444;18,53832
319,4822;44,44444;18,36304
322,4913;44,44444;18,60515
325,5006;44,44444;18,43315
328,5221;40,74074;18,26361
331,5324;40,74074;18,49995
334,5533;44,44444;18,73145
337,554;44,44444;18,56493
340,5698;48,14815;18,40054
343,5803;44,44444;18,62738
346,5851;40,74074;18,85059
349,6002;48,14815;18,68801
352,6263;48,14815;19,28387
355,6306;48,14815;19,12096
358,6375;48,14815;18,96065
361,6628;44,44444;19,17072
364,6783;55,55556;19,37781
367,6841;59,25926;19,2194
370,7;59,25926;19,42271
373,7036;55,55556;19,26661
376,7279;59,25926;19,11194
379,7348;59,25926;18,9606
382,7689;59,25926;19,15865
385,7912;62,96296;19,00855
388,8137;62,96296;18,86079
391,8393;59,25926;19,05543
394,8571;40,74074;18,9098
397,8666;40,74074;18,76676
400,8754;44,44444;18,6259
403,8789;51,85185;18,48739
406,8974;51,85185;18,67793
409,8994;51,85185;18,86642
412,9158;51,85185;19,0515
415,9291;51,85185;18,91348
419,0073;51,85185;19,09275
422,0163;51,85185;18,95662
425,0287;37,03704;19,13596
428,0409;37,03704;19,0013
431,0646;37,03704;19,17732
434,0777;37,03704;19,04421
437,0817;37,03704;19,21838
440,106;37,03704;19,08631
443,1197;37,03704;18,9565
446,1407;37,03704;18,82814
449,1418;37,03704;18,9992
452,1605;40,74074;18,87235
455,1612;40,74074;18,74794
458,1689;44,44444;18,62486
461,1906;48,14815;18,50284
464,1974;48,14815;18,38298
467,2098;48,14815;18,26446
470,2161;48,14815;18,43124
473,2352;48,14815;18,59541
476,2358;48,14815;18,75821
479,2487;48,14815;18,64029
482,2679;40,74074;18,80006
485,2909;48,14815;18,68295
488,3042;44,44444;18,84072
491,3215;48,14815;18,72501
494,3255;48,14815;18,61122
497,3392;48,14815;18,76653
500,3405;44,44444;18,65396
503,3642;44,44444;18,54191
506,3916;44,44444;18,69436
509,3964;48,14815;18,58409
512,4023;44,44444;18,47507
515,435;44,44444;18,36637
518,4523;44,44444;18,25947
521,4689;40,74074;18,15385
524,4736;40,74074;18,04984
527,4753;40,74074;18,1999
530,4896;40,74074;18,34783
533,5099;44,44444;18,49388
536,5301;44,44444;18,38977
539,5449;44,44444;18,28702
542,567;44,44444;18,4309
545,5893;44,44444;18,57319
548,6068;44,44444;18,47103
551,6125;48,14815;18,37038
554,6324;44,44444;18,27036
557,6328;44,44444;18,17206
560,6552;44,44444;18,07409
563,6713;44,44444;17,97738
566,6765;44,44444;17,88205
569,6913;44,44444;18,2555
572,7057;44,44444;18,39223
575,7103;40,74074;18,29624
578,7277;40,74074;18,20084
581,7327;44,44444;18,33603
584,7505;40,74074;18,2414
587,7566;40,74074;18,1481
590,7758;40,74074;18,28105
593,787;44,44444;18,18834
596,7986;44,44444;18,09656
599,8046;48,14815;18,00586
602,8212;51,85185;17,91576
605,8293;51,85185;17,8268
608,8489;48,14815;17,73839
611,8498;48,14815;17,86931
614,8516;48,14815;17,78207
617,8519;51,85185;17,69572
620,8616;48,14815;17,60994
623,8654;40,74074;17,52515
626,877;40,74074;17,86635
629,8983;40,74074;17,99232
632,9009;37,03704;17,90696
635,914;40,74074;17,82212
638,916;51,85185;17,73838
641,9161;51,85185;17,65548
644,9175;51,85185;17,57331
647,9325;48,14815;17,69732
650,9383;48,14815;17,6156
653,9554;48,14815;17,53432
656,9793;44,44444;17,65657
659,9824;48,14815;17,77825
663,0032;44,44444;17,69725
666,0169;44,44444;18,01756
669,039;48,14815;18,13546
