seed;-1933246571
size;100,9767;101,2796
number of AGVs;27
number of APs;4
number of obstacles;96

Logs:
2,982412;100;0
5,998468;100;0
9,100151;100;0
12,10125;88,88889;0
15,11496;85,18519;0
18,13475;81,48148;0
21,15463;81,48148;0
24,16992;85,18519;0
27,17607;85,18519;0
30,18658;81,48148;0
33,20818;81,48148;0
36,20845;81,48148;0
39,22058;85,18519;0
42,24038;85,18519;0
45,25995;62,96296;0
48,27253;85,18519;0
51,28042;81,48148;0
54,29767;81,48148;0
57,31184;81,48148;0
60,33723;81,48148;0
63,3466;81,48148;0
66,35944;81,48148;0
69,38121;77,77778;0
72,38242;77,77778;0
75,39371;77,77778;1,768494
78,40956;77,77778;1,700473
81,43433;77,77778;1,637311
84,45197;70,37037;3,157614
87,46176;70,37037;4,573427
90,47775;48,14815;4,420977
93,48411;74,07407;4,278802
96,51164;77,77778;4,144578
99,51675;81,48148;4,019424
102,536;77,77778;3,90107
105,537;81,48148;3,790139
108,5388;81,48148;3,685318
111,5401;85,18519;5,976926
114,5587;85,18519;5,819434
117,575;85,18519;5,670141
120,594;85,18519;6,633832
123,6048;81,48148;6,472241
126,6086;85,18519;6,318684
129,6821;85,18519;8,225245
132,7023;85,18519;10,04755
135,7056;85,18519;9,825193
138,7174;85,18519;9,611867
141,7431;85,18519;9,406692
144,7513;85,18519;10,13232
147,7681;85,18519;10,82778
150,7869;81,48148;10,611
153,7942;77,77778;11,27047
156,806;77,77778;11,90431
159,8277;81,48148;11,67924
162,8363;81,48148;12,28227
165,8432;81,48148;12,05959
168,862;85,18519;11,84399
171,8758;48,14815;11,63631
174,8978;51,85185;12,1976
177,9081;51,85185;12,74066
180,9147;70,37037;13,26592
183,9355;88,88889;13,77294
187,0024;88,88889;14,26007
190,0144;88,88889;14,73572
193,0245;88,88889;14,50593
196,0387;70,37037;14,96303
199,0419;51,85185;14,73727
202,0654;59,25926;15,1766
205,0823;59,25926;16,25364
208,0901;74,07407;16,65945
211,1118;85,18519;16,421
214,1305;85,18519;16,1895
217,1377;77,77778;16,57934
220,1413;85,18519;16,9588
223,1429;81,48148;16,73069
226,1526;66,66666;17,0976
229,163;74,07407;17,45483
232,177;74,07407;17,22823
235,1811;77,77778;17,00817
238,1824;85,18519;16,79385
241,1886;85,18519;16,58454
244,2102;85,18519;16,37933
247,2241;85,18519;16,17965
250,2361;85,18519;16,51773
253,2372;85,18519;16,32199
256,251;85,18519;16,65034
259,2716;85,18519;17,48488
262,2804;85,18519;17,79266
265,3009;85,18519;17,59009
268,3142;85,18519;18,3864
271,3244;85,18519;18,18242
274,3482;85,18519;17,98201
277,3556;74,07407;17,78703
280,3704;81,48148;18,07133
283,4043;62,96296;18,34834
286,4106;85,18519;18,62128
289,433;85,18519;18,42683
292,4567;85,18519;18,23631
295,4777;85,18519;18,04987
298,4828;81,48148;18,31484
301,4866;81,48148;18,13237
304,4944;81,48148;18,39114
307,4956;81,48148;18,64525
310,5147;81,48148;18,46397
313,5296;85,18519;18,28642
316,5492;85,18519;18,11198
319,5662;88,88889;18,35822
322,5669;85,18519;18,60079
325,5829;59,25926;18,42848
328,5931;85,18519;18,25966
331,609;74,07407;18,0936
334,6161;81,48148;18,32946
337,636;55,55556;18,16552
340,6554;62,96296;18,39591
343,6659;70,37037;18,62274
346,675;88,88889;18,4611
349,6943;88,88889;19,44555
352,6971;81,48148;19,28
355,6972;81,48148;19,49223
358,719;81,48148;19,32804
361,7392;81,48148;19,53526
364,7921;81,48148;19,37176
367,8191;77,77778;19,21235
370,8679;77,77778;19,05441
373,893;74,07407;19,61346
376,8939;74,07407;19,81106
379,8951;74,07407;19,65455
382,9103;59,25926;19,49978
385,9146;55,55556;19,34798
388,9279;55,55556;19,19807
391,9434;55,55556;19,05037
394,9477;59,25926;19,24306
397,9564;59,25926;19,09757
400,9714;62,96296;18,95397
403,9789;66,66666;18,81286
407,0002;62,96296;19,00081
410,0152;59,25926;19,18628
413,0323;59,25926;19,36894
416,0451;59,25926;19,22869
419,0563;62,96296;19,40869
422,068;55,55556;19,2702
425,0948;55,55556;19,44664
428,1176;59,25926;19,30933
431,1296;62,96296;19,79296
434,136;44,44444;19,6559
437,1573;48,14815;19,52005
440,1758;51,85185;19,6891
443,1925;51,85185;19,55509
446,2211;51,85185;20,01997
449,2366;55,55556;19,88559
452,2558;55,55556;20,04765
455,2664;55,55556;19,91508
458,2747;55,55556;19,78435
461,2935;55,55556;19,65487
464,2964;59,25926;20,1021
467,3131;59,25926;20,25765
470,3347;59,25926;20,411
473,3463;55,55556;20,28114
476,3534;62,96296;20,43301
479,3576;62,96296;20,30495
482,4236;62,96296;20,17591
485,4324;55,55556;20,60019
488,4478;55,55556;20,47301
491,4518;55,55556;20,34788
494,4643;59,25926;20,49356
497,472;55,55556;20,63768
500,5006;62,96296;20,5128
503,5119;59,25926;20,39011
506,5213;59,25926;20,26897
509,5422;59,25926;20,14881
512,5515;62,96296;20,29065
515,5573;62,96296;20,17235
518,5577;62,96296;20,31275
521,5749;62,96296;20,70652
524,593;66,66666;20,84155
527,593;70,37037;20,72305
530,5981;81,48148;20,85697
533,619;81,48148;20,73889
536,6379;77,77778;20,62222
539,6571;77,77778;20,50685
542,7989;59,25926;20,63379
545,8232;51,85185;20,51946
548,8358;59,25926;20,40683
551,8546;70,37037;20,2952
554,8615;66,66666;20,18522
557,8772;62,96296;20,3151
560,881;62,96296;20,2063
563,8925;66,66666;20,09839
566,8936;74,07407;19,99199
569,8948;77,77778;19,88671
572,8983;62,96296;19,78245
575,9132;66,66666;19,91041
578,9191;85,18519;19,80703
581,9354;81,48148;20,16261
584,9489;77,77778;20,05873
587,9653;74,07407;20,1826
590,9771;70,37037;20,30536
593,9803;74,07407;20,65164
596,985;77,77778;20,5477
599,9919;74,07407;20,44472
603,0088;77,77778;20,34243
606,024;77,77778;20,24122
609,0422;77,77778;20,14091
612,0521;81,48148;20,04187
615,0729;81,48148;19,94344
618,093;77,77778;20,06171
621,0941;74,07407;19,96477
624,1023;77,77778;20,08218
627,116;77,77778;19,98567
630,1312;81,48148;20,31323
633,1492;81,48148;20,21641
636,1708;77,77778;20,32997
639,1923;81,48148;20,44247
642,197;77,77778;20,34682
645,2247;81,48148;20,25134
648,2355;70,37037;20,56866
651,2526;77,77778;20,47337
654,2571;81,48148;20,37935
657,2574;81,48148;20,28632
660,2758;81,48148;20,39552
663,3021;81,48148;20,90551
666,3139;77,77778;20,81101
669,3172;81,48148;20,71763
