seed;-1933246571
size;100,9767;101,2796
number of AGVs;27
number of APs;4
number of obstacles;96

Logs:
2,980027;62,96296;0
5,984087;62,96296;0
8,989297;62,96296;0
11,99443;62,96296;0
15,00136;62,96296;0
18,00706;62,96296;0
21,00877;62,96296;0
24,0117;62,96296;0
27,01567;59,25926;0
30,01861;59,25926;0
33,01959;59,25926;0
36,02157;59,25926;0
39,02446;59,25926;0
42,02555;59,25926;0
45,02647;55,55556;0
48,03137;55,55556;0
51,03292;48,14815;0
54,03347;44,44444;0
57,03431;44,44444;0
60,03554;40,74074;0
63,03886;48,14815;0
66,03973;44,44444;0
69,04374;48,14815;0
72,04521;44,44444;0
75,04879;44,44444;0
78,05349;37,03704;0
81,06401;44,44444;1,644791
84,07809;33,33333;3,171655
87,08883;25,92593;3,062008
90,11018;33,33333;2,95934
93,11623;40,74074;2,863805
96,13757;40,74074;2,773803
99,14682;44,44444;2,689614
102,1703;40,74074;2,610022
105,1916;37,03704;2,535056
108,1944;40,74074;2,4647
111,1993;33,33333;2,398096
114,2071;37,03704;3,50241
117,2186;37,03704;3,412427
120,2384;33,33333;3,326725
123,2507;37,03704;3,245416
126,2652;33,33333;4,223913
129,2856;33,33333;4,125233
132,2936;33,33333;5,039296
135,3017;33,33333;4,927261
138,3142;29,62963;4,819944
141,3175;29,62963;4,71751
144,3272;33,33333;5,54296
147,3363;37,03704;7,239673
150,3469;37,03704;7,094702
153,3616;33,33333;6,955239
156,3631;33,33333;6,821726
159,3723;33,33333;7,529541
162,3824;33,33333;7,389966
165,4024;37,03704;7,255034
168,4281;37,03704;7,124704
171,4351;33,33333;6,999732
174,4436;33,33333;8,407682
177,4536;33,33333;8,265071
180,475;29,62963;8,126701
183,4768;29,62963;7,993744
186,4783;29,62963;8,580088
189,4843;33,33333;9,8513
192,4934;25,92593;9,697301
195,5104;29,62963;10,22963
198,5241;22,22222;10,74597
201,529;25,92593;10,58574
204,5306;22,22222;10,43039
207,5424;29,62963;10,92146
210,5474;33,33333;10,76559
213,5483;22,22222;10,61431
216,5489;25,92593;10,46723
219,5699;25,92593;10,32321
222,5865;25,92593;10,18331
225,5919;25,92593;10,04764
228,6169;22,22222;9,914695
231,631;22,22222;9,785677
234,6545;22,22222;10,79601
237,66;18,51852;10,65949
240,7316;18,51852;10,52348
243,7523;18,51852;10,39307
246,7746;18,51852;10,26578
249,7908;14,81481;10,14182
252,8087;14,81481;10,02075
255,8108;14,81481;9,903152
258,8111;18,51852;9,788348
261,819;22,22222;9,675895
264,8333;18,51852;9,565764
267,8451;22,22222;9,458203
270,8574;18,51852;9,353016
273,8776;22,22222;9,736711
276,8897;22,22222;9,630791
279,8912;22,22222;10,00389
282,8915;22,22222;9,897786
285,8978;25,92593;9,793709
288,9095;22,22222;10,15312
291,928;22,22222;10,04814
294,9408;22,22222;9,945499
297,9608;22,22222;9,844696
300,9788;18,51852;9,745982
303,9993;25,92593;9,649145
307,0153;25,92593;9,554357
310,0285;25,92593;9,461494
313,0355;29,62963;9,370608
316,056;33,33333;9,281056
319,0681;33,33333;9,611322
322,1004;33,33333;9,93479
325,1098;29,62963;9,842829
328,1338;29,62963;10,15846
331,1563;25,92593;10,06574
334,1766;25,92593;9,974766
337,1859;29,62963;9,885746
340,1946;29,62963;9,798313
343,2089;25,92593;9,712256
346,2179;25,92593;9,627849
349,2365;25,92593;9,544631
352,2394;29,62963;10,22032
355,2417;29,62963;10,50928
358,2585;29,62963;10,79295
361,2675;37,03704;10,70306
364,2949;37,03704;10,61411
367,2957;37,03704;10,52739
370,314;37,03704;10,44159
373,3173;33,33333;10,35759
376,3439;33,33333;10,27429
379,3488;33,33333;10,19291
382,3488;33,33333;10,46165
385,36;25,92593;10,7259
388,3647;29,62963;10,64292
391,3687;29,62963;10,56122
394,3714;29,62963;10,48081
397,389;33,33333;10,40123
400,404;33,33333;10,32291
403,4232;29,62963;10,57616
406,4462;29,62963;10,49749
409,4558;29,62963;10,42034
412,4633;25,92593;10,34435
415,4719;25,92593;10,26945
418,4779;25,92593;10,19568
421,4821;25,92593;10,12301
424,4979;25,92593;10,36519
427,5112;29,62963;10,29213
430,5154;29,62963;10,22031
433,5368;37,03704;10,45663
436,5553;29,62963;10,38433
439,5567;33,33333;10,31342
442,5725;29,62963;10,24314
445,5885;25,92593;10,17381
448,6056;25,92593;10,10539
451,6281;25,92593;10,03776
454,639;29,62963;10,26455
457,6495;29,62963;10,19703
460,6704;37,03704;10,13016
463,677;37,03704;10,35203
466,6913;33,33333;10,28517
469,707;37,03704;10,21914
472,7165;37,03704;10,43614
475,7181;37,03704;10,37029
478,7287;37,03704;10,58359
481,7326;33,33333;10,79437
484,7379;29,62963;10,72745
487,7407;33,33333;10,6614
490,7433;29,62963;10,59617
493,7479;22,22222;10,53169
496,7567;25,92593;10,4679
499,7751;25,92593;10,67147
502,7965;29,62963;10,60734
505,8108;25,92593;10,54413
508,8318;25,92593;10,48152
511,8378;29,62963;10,41997
514,8572;29,62963;10,35886
517,8638;25,92593;10,29872
520,8649;25,92593;10,23938
523,8759;29,62963;10,18053
526,8784;29,62963;10,37558
529,8892;33,33333;10,31662
532,9111;33,33333;10,25812
535,9266;37,03704;10,44919
538,9375;33,33333;10,39081
541,9547;29,62963;10,57899
544,9774;29,62963;10,76497
547,9778;33,33333;10,70603
550,9854;33,33333;10,64759
554,0054;37,03704;10,58955
557,0098;29,62963;10,7718
560,0154;29,62963;10,71399
563,0306;29,62963;10,65661
566,0466;33,33333;10,59983
569,055;40,74074;10,5438
572,0618;37,03704;10,48838
575,073;37,03704;10,66531
578,0762;37,03704;10,6099
581,0865;33,33333;10,55494
584,1443;33,33333;10,72794
587,1738;33,33333;10,89967
590,1786;29,62963;10,84418
593,1968;33,33333;11,01377
596,2087;29,62963;10,95813
599,2201;29,62963;10,90306
602,2279;25,92593;10,84861
605,2491;29,62963;11,01475
608,2502;29,62963;11,17961
611,2703;25,92593;11,12438
614,2877;25,92593;11,06973
617,3003;25,92593;11,2317
620,3116;22,22222;11,17718
623,3316;18,51852;11,12302
626,3322;25,92593;11,28262
629,3409;22,22222;11,44054
632,3512;18,51852;11,38608
635,3611;22,22222;11,33214
638,3823;14,81481;11,27851
641,3939;18,51852;11,22555
644,4136;14,81481;11,17295
647,4257;25,92593;11,12097
650,4426;18,51852;11,06939
653,4625;18,51852;11,01823
656,4675;18,51852;10,96779
659,4745;22,22222;10,91778
662,4843;22,22222;10,86818
665,4855;25,92593;10,81917
