seed;-1493036264
size;114,9423;337,6219
number of AGVs;79
number of APs;16

Logs:
3,005818;0;0
6,0106;77,21519;0
9,016873;77,21519;0
12,02176;77,21519;0
15,02844;77,21519;0
18,03212;77,21519;0
21,03849;77,21519;0
24,04436;77,21519;0
27,05053;77,21519;0
30,05237;77,21519;0
33,05376;81,01266;0
36,05738;81,01266;0
39,06499;75,94936;0
42,07084;75,94936;0
45,07268;72,1519;0
48,07385;70,88608;0
51,07793;70,88608;0
54,08445;68,35443;0
57,08729;69,62025;0
60,09382;68,35443;0
63,09967;70,88608;0
66,10526;72,1519;0
69,1103;72,1519;0
72,11302;69,62025;2,527678
75,12085;69,62025;2,42647
78,13029;69,62025;2,333007
81,13591;72,1519;4,493164
84,14782;82,27848;4,33234
87,15413;86,07595;4,182899
90,17852;86,07595;4,042614
93,1852;82,27848;3,912176
96,18819;78,48101;3,790039
99,23962;75,94936;3,673502
102,2442;75,94936;3,56555
105,246;75,94936;3,463857
108,2789;75,94936;3,366834
111,2864;82,27848;3,275845
114,2909;79,74683;3,189728
117,2965;79,74683;3,107994
120,303;74,68355;3,030324
123,3058;60,75949;2,956528
126,3096;64,55696;2,886217
129,312;67,08861;2,819205
132,3172;51,89874;2,755174
135,3224;63,29114;3,704234
138,3235;63,29114;3,623867
141,3255;59,49367;3,869334
144,3304;59,49367;3,788774
147,3326;54,43038;3,711572
150,333;59,49367;4,243745
153,3484;59,49367;4,160295
156,3519;68,35443;4,080378
159,3564;62,02532;4,003447
162,3608;64,55696;3,929365
165,3654;49,36709;6,613661
168,3677;58,22785;6,49573
171,3687;58,22785;6,381975
174,3699;60,75949;6,27213
177,3722;65,82278;6,165967
180,3771;63,29114;6,063246
183,3832;63,29114;5,963854
186,3873;67,08861;5,867734
189,4318;67,08861;5,773429
192,4375;59,49367;5,683253
195,4429;60,75949;5,59586
198,4462;60,75949;5,51117
201,4741;62,02532;5,428345
204,475;62,02532;5,348678
207,4778;64,55696;5,271266
210,4818;67,08861;5,196035
213,4842;68,35443;5,12296
216,4896;69,62025;7,156775
219,515;68,35443;7,058136
222,52;67,08861;6,962822
225,5226;70,88608;8,082495
228,5301;68,35443;8,77374
231,5321;63,29114;9,250432
234,5345;68,35443;9,132012
237,5402;58,22785;9,016463
240,5444;56,96202;8,903853
243,5498;50,63291;10,10372
246,5525;55,6962;9,980673
249,5529;58,22785;9,860674
252,5713;53,16456;10,46452
255,5723;54,43038;10,34165
258,5774;59,49367;10,22146
261,5809;50,63291;10,2783
264,5864;53,16456;10,16155
267,5923;58,22785;10,0474
270,5931;67,08861;10,4412
273,598;67,08861;11,15931
276,6057;68,35443;11,8617
279,6097;63,29114;12,22319
282,6125;62,02532;12,09332
285,616;51,89874;11,96614
288,621;50,63291;11,84155
291,6483;45,56962;11,71864
294,6526;45,56962;11,59915
297,6606;44,3038;11,94122
300,6678;46,83544;11,82179
303,6732;45,56962;12,15497
306,6813;50,63291;12,03575
309,688;50,63291;12,21319
312,7196;50,63291;12,09479
315,7214;46,83544;12,99014
318,7267;43,03798;13,86848
321,7274;44,3038;13,73912
324,7278;45,56962;13,61218
327,7572;37,97468;13,48637
330,7592;37,97468;13,63951
333,7812;53,16456;13,51602
336,7852;62,02532;13,93669
339,7873;60,75949;14,21589
342,7916;64,55696;14,0913
345,7976;62,02532;13,9688
348,8177;59,49367;13,84786
351,8219;58,22785;13,72962
354,825;56,96202;13,74184
