seed;-1493036264
size;114,9423;337,6219
number of AGVs;79
number of APs;16

Logs:
3,005237;0;0
6,013091;77,21519;0
9,018907;77,21519;0
12,02201;77,21519;0
15,02411;77,21519;0
18,02633;77,21519;0
21,04892;77,21519;0
24,05331;77,21519;0
27,05481;77,21519;0
30,06005;77,21519;0
33,0615;81,01266;0
36,06614;81,01266;0
39,0966;75,94936;0
42,10105;75,94936;0
45,10513;72,1519;0
48,10989;70,88608;0
51,11502;70,88608;0
54,12124;72,1519;0
57,12381;69,62025;0
60,15649;68,35443;0
63,15799;70,88608;0
66,16481;72,1519;0
69,16905;72,1519;0
72,18995;69,62025;2,524984
75,19678;69,62025;2,42402
78,22909;69,62025;2,33006
81,23553;72,1519;4,487654
84,24199;82,27848;4,327497
87,24815;86,07595;4,178392
90,25239;86,07595;4,039306
93,27932;82,27848;3,908229
96,28452;82,27848;3,786247
99,28737;75,94936;3,671736
102,2935;75,94936;3,563832
105,2971;75,94936;3,462174
108,2986;75,94936;3,366221
111,3113;82,27848;3,275113
114,3149;79,74683;3,189059
117,3214;79,74683;3,107334
120,3276;74,68355;3,029703
123,3325;62,02532;2,955887
126,3362;70,88608;2,885609
129,3418;67,08861;2,818556
132,3424;51,89874;2,754649
135,3465;63,29114;3,703575
138,3524;63,29114;3,623108
141,3548;59,49367;3,868532
144,3748;59,49367;3,787609
147,384;55,6962;3,710278
150,3899;59,49367;3,939128
153,3938;59,49367;3,861987
156,3974;68,35443;3,787819
159,4036;62,02532;3,716385
162,4061;64,55696;3,647678
165,4081;63,29114;4,407969
168,4113;58,22785;6,22346
171,4211;58,22785;6,114192
174,4272;60,75949;6,008817
177,4322;65,82278;5,907051
180,4366;63,29114;5,808697
183,4378;63,29114;5,713661
186,4426;67,08861;5,621575
189,4501;67,08861;5,532334
192,4561;64,55696;5,445923
195,4733;60,75949;5,361864
198,4773;63,29114;5,280712
201,4796;62,02532;5,202023
204,4853;62,02532;5,125557
207,4872;64,55696;5,051403
210,4901;67,08861;4,979338
213,4919;68,35443;4,909326
216,4923;69,62025;6,946192
219,4971;69,62025;6,851104
222,4975;67,08861;6,758715
225,5001;70,88608;8,083299
228,506;67,08861;8,774665
231,5064;63,29114;9,251459
234,5116;68,35443;9,132904
237,518;58,22785;9,017303
240,5187;58,22785;8,904803
243,5217;51,89874;8,794994
246,5454;54,43038;9,241629
249,5469;56,96202;9,130471
252,5583;56,96202;9,743332
255,5647;54,43038;9,628713
258,5706;60,75949;9,516779
261,5746;50,63291;9,407485
264,5808;50,63291;9,47283
267,5811;58,22785;9,366614
270,5813;65,82278;9,768
273,5834;67,08861;10,49364
276,5879;68,35443;11,20343
279,5901;67,08861;11,57209
282,5921;60,75949;11,44916
285,5931;59,49367;11,32886
288,6028;54,43038;11,21071
291,6133;44,3038;11,09498
294,6209;44,3038;10,98172
297,6259;43,03798;11,33017
300,6282;45,56962;11,21702
303,634;45,56962;11,55622
306,6342;49,36709;11,44315
309,6367;49,36709;11,62653
312,6384;37,97468;11,5149
315,6402;40,50633;12,41599
318,6417;39,24051;13,30013
321,6446;39,24051;13,17595
324,6492;39,24051;13,05401
327,6508;39,24051;12,93442
330,6555;39,24051;13,09252
333,6614;39,24051;12,97457
336,6688;48,10126;13,40009
