seed;-1493036264
size;114,9423;337,6219
number of AGVs;79
number of APs;16

Logs:
3,00713;0;0
6,007248;53,16456;0
9,007339;53,16456;0
12,01366;53,16456;0
15,01657;53,16456;0
18,01856;53,16456;0
21,02038;53,16456;0
24,02513;53,16456;0
27,02626;53,16456;0
30,03202;53,16456;0
33,03257;53,16456;0
36,03523;53,16456;0
39,03843;51,89874;0
42,04176;51,89874;0
45,04328;51,89874;0
48,05044;49,36709;0
51,05273;48,10126;0
54,06002;48,10126;0
57,06195;46,83544;0
60,06726;46,83544;0
63,06884;48,10126;0
66,07438;48,10126;0
69,07526;48,10126;0
72,08028;48,10126;0,6322064
75,08044;49,36709;0,6069439
78,0849;46,83544;0,5835907
81,08933;45,56962;1,123936
84,09253;44,3038;1,083797
87,09395;44,3038;1,046448
90,09885;46,83544;1,011547
93,10088;46,83544;0,9789299
96,10461;48,10126;0,9483336
99,10476;46,83544;0,9196252
102,1114;46,83544;0,8925471
105,1167;45,56962;0,8670294
108,121;44,3038;0,8429376
111,1221;41,77215;0,8201723
114,1267;41,77215;0,7985792
117,1294;41,77215;0,7781073
120,1349;39,24051;0,7586408
123,1392;39,24051;0,7401316
126,1395;37,97468;0,7225271
129,1457;40,50633;0,7057087
132,1462;39,24051;0,689685
135,1504;40,50633;0,6743544
138,1588;39,24051;0,6596699
141,1652;39,24051;0,645621
144,1669;37,97468;0,6321784
147,1852;35,44304;0,6192148
150,1864;36,70886;0,6068407
153,1915;36,70886;0,5949368
156,1929;40,50633;0,5835046
159,1932;40,50633;0,5725072
162,1988;40,50633;0,5618983
165,205;39,24051;1,379184
168,2097;39,24051;1,354548
171,2136;36,70886;1,330782
174,2189;40,50633;1,307826
177,2238;43,03798;1,285652
180,226;41,77215;1,264236
183,2525;40,50633;1,243356
186,2579;40,50633;1,223294
189,2613;37,97468;1,203881
192,2628;36,70886;1,185087
195,2663;39,24051;1,166858
198,2844;36,70886;1,149098
201,2851;37,97468;1,131967
204,2872;37,97468;1,115332
207,2901;36,70886;1,099175
210,2978;36,70886;1,083454
213,3029;37,97468;1,06819
216,3049;39,24051;1,685384
219,3096;37,97468;1,662294
222,3332;35,44304;1,639687
225,3427;34,17722;2,426683
228,355;31,64557;2,594228
231,3554;31,64557;2,757552
234,3595;32,91139;2,722205
237,3608;30,37975;2,687785
240,3608;30,37975;2,654237
243,3669;30,37975;2,995945
246,3794;30,37975;2,959313
249,3803;31,64557;2,923703
252,3857;32,91139;3,249999
255,3888;32,91139;3,211782
258,3929;31,64557;3,174442
261,3989;30,37975;3,137937
264,4048;30,37975;3,102263
267,408;30,37975;3,067422
270,4099;31,64557;3,37041
273,4347;31,64557;3,666439
276,4374;34,17722;3,956306
279,4425;32,91139;4,076833
282,4446;30,37975;4,033501
285,4632;29,11392;3,990849
288,4694;29,11392;3,94926
291,4753;27,8481;3,908531
294,5301;26,58228;3,867994
297,5303;27,8481;3,82899
300,5308;27,8481;3,790761
303,5331;26,58228;3,903396
306,5597;26,58228;3,864859
309,5623;26,58228;3,827373
312,5658;27,8481;3,790595
315,5673;26,58228;4,187756
318,5689;26,58228;4,863523
321,574;27,8481;4,818073
324,5836;27,8481;4,773399
327,5887;26,58228;4,729611
330,595;26,58228;4,962284
333,6021;26,58228;4,917554
336,6052;30,37975;5,144441
339,6152;31,64557;5,233026
342,6179;32,91139;5,187164
345,619;32,91139;5,142123
348,6239;30,37975;5,097801
351,6252;31,64557;5,054289
354,6252;31,64557;5,011531
357,6316;30,37975;4,969403
360,638;34,17722;4,927976
363,6407;30,37975;4,887283
366,6433;30,37975;4,847259
369,6457;31,64557;4,807888
372,6492;32,91139;4,769137
375,6499;32,91139;4,731041
378,6534;30,37975;4,693514
381,6612;29,11392;4,775923
384,6661;32,91139;4,738616
387,6672;29,11392;4,701932
390,6871;30,37975;4,665588
393,6939;31,64557;4,629954
396,694;31,64557;4,594939
399,7042;30,37975;4,560334
402,7045;30,37975;4,526358
405,7302;31,64557;4,492603
408,7365;30,37975;4,571048
411,7398;31,64557;4,869734
414,7443;30,37975;4,834456
417,7472;27,8481;4,799705
420,7528;26,58228;4,873724
423,755;25,31646;5,376883
426,7554;25,31646;5,339079
429,7595;27,8481;5,513829
432,761;31,64557;5,475586
435,766;30,37975;5,437827
438,7936;29,11392;5,400307
441,7946;29,11392;5,363624
444,8006;30,37975;5,327376
447,8051;30,37975;5,291633
450,8083;31,64557;5,256381
453,8133;32,91139;5,221575
456,8168;34,17722;5,187245
459,824;35,44304;5,15332
462,8254;32,91139;5,119901
465,826;32,91139;5,086921
468,83;32,91139;5,054327
471,8372;34,17722;5,022114
474,8406;34,17722;4,990349
477,8415;31,64557;4,959009
480,8454;31,64557;4,928029
483,8542;30,37975;4,897385
486,8568;30,37975;4,960781
489,8599;31,64557;5,116421
492,8608;29,11392;5,362646
495,8675;29,11392;5,422029
498,8698;27,8481;5,572089
501,8728;30,37975;5,538747
504,8749;30,37975;5,77659
507,899;34,17722;5,742197
510,9047;34,17722;5,886802
513,9177;34,17722;5,85229
516,9247;34,17722;5,818245
519,9301;32,91139;5,784614
522,9359;34,17722;5,751364
525,9388;32,91139;5,718527
528,946;30,37975;5,772167
531,9465;29,11392;5,825274
534,9481;31,64557;5,792588
537,9527;31,64557;5,760235
540,9573;31,64557;5,81248
543,9686;30,37975;5,864077
546,9712;30,37975;5,831886
549,9741;29,11392;5,800044
552,9768;29,11392;5,933364
555,9805;30,37975;6,065234
558,9821;30,37975;6,19571
562,002;31,64557;6,162419
565,0046;30,37975;6,290975
568,0214;31,64557;6,418015
571,0236;29,11392;6,384271
574,0296;27,8481;6,50961
577,0323;29,11392;6,475736
580,0323;29,11392;6,442243
583,0356;27,8481;6,565377
586,0361;29,11392;6,531762
589,0408;27,8481;6,653168
592,0432;27,8481;7,00428
595,0439;26,58228;7,045539
598,0543;26,58228;7,010074
601,0546;27,8481;6,975082
604,0588;26,58228;6,940392
607,0634;25,31646;6,906042
610,0885;27,8481;6,871799
613,0925;25,31646;6,838128
616,0984;24,05063;6,804765
619,1042;24,05063;6,771728
622,1067;25,31646;6,739045
625,132;25,31646;6,706432
628,1323;26,58228;6,819494
631,1357;26,58228;6,787042
634,1404;25,31646;6,898604
637,1435;26,58228;6,866088
640,1484;27,8481;6,833858
643,1681;27,8481;6,801773
646,173;26,58228;6,770143
649,1768;26,58228;6,738817
652,1802;27,8481;6,707784
655,1821;26,58228;6,67705
658,1827;27,8481;6,646609
661,1877;26,58228;6,616401
664,2051;26,58228;6,586344
667,2076;26,58228;6,556705
670,2111;25,31646;6,527322
673,2157;24,05063;6,565879
676,2219;26,58228;6,671467
679,2254;26,58228;6,641966
682,2317;25,31646;6,612699
685,2329;25,31646;6,583736
688,2383;24,05063;6,554986
