seed;1425475295
size;74,92971;198,2944
number of AGVs;30
number of APs;15
number of obstacles;91

Logs:
2,984414;96,66666;0
5,988693;96,66666;0
8,991829;96,66666;0
11,99684;90;0
15,00437;90;0
18,00573;90;0
21,00575;90;0
24,01115;90;0
27,01553;90;0
30,0178;86,66666;0
33,01858;90;0
36,02006;90;0
39,02322;90;0
42,02374;90;0
45,02599;93,33334;0
48,02757;90;0
51,03026;86,66666;0
54,03581;86,66666;0
57,03651;86,66666;0
60,03763;90;0
63,04165;83,33334;0
66,04403;86,66666;0
69,04943;86,66666;0
72,05431;86,66666;0
75,05592;86,66666;0
78,056;86,66666;0
81,0601;86,66666;0
84,06281;86,66666;1,427504
87,06411;86,66666;2,756589
90,06976;83,33334;2,664601
93,07393;86,66666;2,578595
96,09372;86,66666;2,497562
99,09899;86,66666;2,421821
102,1044;86,66666;2,350534
105,1072;83,33334;2,283384
108,1097;83,33334;3,329952
111,1132;80;3,23994
114,1145;86,66666;3,154727
117,1196;86,66666;5,122968
120,1257;86,66666;4,994769
123,1283;86,66666;4,872966
126,1288;86,66666;4,757043
129,1324;83,33334;4,646392
132,1349;83,33334;4,540812
135,1397;76,66666;5,327821
138,1464;80;5,211863
141,152;80;8,501473
144,1528;80;8,324499
147,1537;80;8,154741
150,1541;83,33334;8,79097
153,1571;83,33334;10,18562
156,1572;83,33334;10,75839
159,1626;83,33334;10,55525
162,168;83,33334;10,35963
165,1722;80;11,62423
168,174;80;12,13029
171,1744;80;11,91767
174,1791;80;11,71208
177,1835;76,66666;12,19075
180,1845;76,66666;12,65369
183,1882;76,66666;13,10128
186,1935;76,66666;13,53431
189,1966;73,33334;13,31948
192,2025;73,33334;13,11117
195,2028;73,33334;13,5244
198,2069;73,33334;13,92484
201,2079;76,66666;14,31355
204,2131;76,66666;14,10291
207,2164;76,66666;15,05672
210,2212;76,66666;15,41234
213,2252;76,66666;15,1952
216,2306;76,66666;16,09393
219,234;73,33334;15,87345
222,2378;73,33334;16,19886
225,2412;80;15,98287
228,2449;76,66666;15,77253
231,2499;80;15,56757
234,2509;80;16,39268
237,2515;80;17,19694
240,2527;80;16,98212
243,2565;83,33334;17,26573
246,2592;83,33334;17,0552
249,2618;83,33334;17,33117
252,2655;83,33334;17,12482
255,2676;80;17,86361
258,2715;80;18,12046
261,2722;80;17,91235
264,2751;80;17,70882
267,2815;80;18,85653
270,2854;80;18,64695
273,2897;80;18,44197
276,2944;83,33334;18,67573
279,2976;83,33334;18,47492
282,2997;83,33334;19,97877
285,3026;80;19,76849
288,3038;80;19,5627
291,31;80;19,77275
294,3121;80;19,57106
297,3138;76,66666;19,37347
300,3163;80;19,57936
303,3165;76,66666;19,38569
306,3186;76,66666;19,58745
309,3224;80;19,78518
312,3233;83,33334;19,9793
315,3251;83,33334;20,16966
318,3706;80;20,73056
321,3757;83,33334;20,53671
324,3813;83,33334;20,71636
327,3815;83,33334;20,89305
330,3876;80;21,06616
333,3941;76,66666;20,87619
336,399;76,66666;21,04644
339,4008;76,66666;20,86029
342,4038;76,66666;20,67734
345,4039;76,66666;20,49774
348,4085;76,66666;20,32097
351,4109;76,66666;20,83032
354,4144;76,66666;20,65379
357,4172;76,66666;20,48027
360,4226;76,66666;20,30949
363,4243;76,66666;20,14175
366,4272;80;20,30417
369,4328;83,33334;20,4638
372,4368;83,33334;20,62095
375,4409;83,33334;21,0952
378,443;76,66666;20,92785
381,4502;76,66666;20,76287
384,452;76,66666;20,60075
387,4523;76,66666;20,75094
390,4559;76,66666;20,59131
393,4633;76,66666;21,04389
396,4691;73,33334;20,88435
399,4732;73,33334;20,72729
402,4765;73,33334;20,57263
405,4809;73,33334;20,42019
408,4867;73,33334;20,5637
411,4912;73,33334;21,28843
414,4914;70;21,42385
417,4925;70;21,26985
420,4951;70;21,11796
423,4976;70;21,25159
426,5013;70;21,38329
429,5066;70;21,51306
432,5117;70;21,36358
435,5172;70;21,76722
438,5224;70;21,61805
441,5271;70;21,74272
444,5327;73,33334;22,1356
447,5345;73,33334;22,79154
450,5385;73,33334;22,63958
453,541;73,33334;22,75428
456,5435;70;22,60464
459,5486;70;22,45682
462,5506;66,66666;22,5705
465,5536;70;22,42492
468,5544;66,66666;22,5374
471,5594;66,66666;22,64826
474,5609;66,66666;22,75788
477,5652;66,66666;23,11726
480,5675;70;22,97284
483,5691;66,66666;23,0784
486,572;63,33333;22,93597
489,5751;66,66666;23,04039
492,5788;66,66666;22,89989
495,5821;66,66666;22,76111
498,5876;66,66666;22,62391
501,5891;66,66666;22,48853
504,5945;66,66666;22,35459
507,5966;66,66666;22,45878
510,5972;66,66666;22,56182
513,6004;66,66666;22,66353
516,6022;66,66666;22,53184
519,6064;66,66666;22,40157
522,6103;66,66666;22,50243
525,6135;66,66666;22,60216
528,6179;70;22,4737
531,6209;70;22,57248
534,6223;70;22,67021
537,6284;70;22,98986
540,6292;73,33334;22,86225
543,6301;73,33334;22,95679
546,6346;73,33334;22,83061
549,6382;73,33334;22,92417
552,6404;73,33334;22,79963
555,6432;73,33334;22,89239
558,647;73,33334;22,9841
561,6519;73,33334;23,07479
564,6533;73,33334;22,95214
567,6581;70;22,83065
570,6597;73,33334;22,92084
573,6642;73,33334;22,80079
576,6653;73,33334;22,68213
579,6661;73,33334;23,18576
582,6712;73,33334;23,06618
585,6731;73,33334;22,94796
588,6733;80;23,03485
591,6774;80;22,91789
594,6794;70;23,20578
597,6849;70;23,08909
600,6862;70;23,1735
