seed;1425475295
size;74,92971;198,2944
number of AGVs;30
number of APs;15
number of obstacles;91

Logs:
2,984038;86,66666;0
5,984934;86,66666;0
8,987516;86,66666;0
11,99065;86,66666;0
14,99134;86,66666;0
17,99393;86,66666;0
20,99596;86,66666;0
23,99899;83,33334;0
26,99936;83,33334;0
30,00119;83,33334;0
33,00342;86,66666;0
36,00706;86,66666;0
39,00825;83,33334;0
42,00981;86,66666;0
45,01064;86,66666;0
48,012;83,33334;0
51,01254;83,33334;0
54,01807;80;0
57,02298;76,66666;0
60,02555;76,66666;0
63,02617;73,33334;0
66,02681;76,66666;0
69,0329;73,33334;0
72,03652;70;0
75,03748;73,33334;0
78,04008;76,66666;0
81,04458;80;0
84,048;80;0
87,05082;76,66666;0
90,05148;73,33334;0
93,05667;73,33334;0
96,05716;73,33334;0
99,06075;73,33334;1,211378
102,0618;73,33334;1,175759
105,0687;70;1,14211
108,0739;70;1,110352
111,0793;70;1,08031
114,0826;70;1,051869
117,0875;73,33334;3,074623
120,0881;70;3,997066
123,0905;70;3,89957
126,0942;70;3,806679
129,0984;70;3,718094
132,1011;70;3,63358
135,1051;73,33334;4,440987
138,1059;73,33334;4,344493
141,1071;70;5,102508
144,1119;63,33333;4,996117
147,1167;63,33333;4,894073
150,1191;66,66666;4,796191
153,1213;70;4,702154
156,1227;70;4,611758
159,1235;70;4,524788
162,1261;70;4,440989
165,1292;70;5,086926
168,1309;70;5,709836
171,1334;70;5,609658
174,135;70;5,512963
177,1378;70;6,774385
180,1414;73,33334;7,993721
183,1434;73,33334;8,517913
186,1493;73,33334;8,380368
189,1494;73,33334;8,881869
192,1686;70;9,366776
195,1687;70;9,22279
198,1689;70;9,083163
201,1701;73,33334;10,73718
204,1765;73,33334;11,16681
207,1792;73,33334;12,16339
210,1815;73,33334;11,98964
213,1852;73,33334;11,82071
216,188;70;11,65652
219,1891;70;12,59186
222,1936;70;12,4216
225,1968;70;12,25595
228,199;70;12,62057
231,202;70;12,45664
234,2049;70;12,29692
237,2069;70;12,64719
240,2095;70;13,48823
243,2102;70;13,81521
246,2129;66,66666;14,13411
249,2146;66,66666;13,96387
252,2189;70;15,22487
255,2192;70;15,04589
258,2206;70;14,87101
261,224;66,66666;14,70003
264,2254;66,66666;14,53304
267,2299;66,66666;14,8187
270,2342;63,33333;14,65396
273,2412;63,33333;14,93186
276,2428;63,33333;15,63842
279,2466;63,33333;15,89993
282,2487;66,66666;16,15596
285,2494;66,66666;16,4067
288,2496;66,66666;16,65223
291,2547;66,66666;16,48042
294,2593;66,66666;16,71995
297,2597;70;16,55119
300,2602;70;16,78544
303,2614;73,33334;16,61933
306,2642;73,33334;16,45638
309,2653;73,33334;17,07272
312,275;73,33334;17,29245
315,2795;73,33334;17,50827
318,2841;73,33334;17,343
321,2845;73,33334;17,18103
324,289;73,33334;17,02185
327,2904;73,33334;16,86575
330,2926;70;17,07577
333,296;70;17,28193
336,301;70;17,12752
339,3043;73,33334;16,97591
342,307;70;17,17756
345,3104;70;17,02816
348,3116;70;17,57048
351,3155;70;17,76181
354,3184;70;17,61128
357,3218;70;18,13491
360,3231;70;18,31689
363,3271;70;18,49573
366,329;73,33334;18,34417
369,3341;73,33334;18,51982
372,3376;73,33334;18,37043
375,3419;73,33334;18,22339
378,3458;73,33334;18,39587
381,3464;73,33334;18,25112
384,3509;73,33334;18,73288
387,3527;70;18,8975
390,3571;70;18,75206
393,3615;70;18,60884
396,3656;73,33334;18,4678
399,3715;70;18,62927
402,3766;70;18,78837
405,3815;73,33334;18,6491
408,3868;73,33334;18,8057
411,3885;76,66666;18,66849
414,3893;70;18,5333
417,3925;70;19,26244
420,3967;66,66666;19,12479
423,3991;66,66666;19,27259
426,4043;63,33333;19,13677
429,4064;60;19,84134
432,4091;56,66667;20,2586
435,411;60;20,39453
438,4126;60;20,25489
441,4154;60;20,1171
444,4166;63,33333;19,98125
447,4208;66,66666;19,84709
450,4232;70;19,71479
453,4246;70;19,58429
456,4303;70;19,45532
459,435;70;19,32809
462,437;70;19,72161
465,4371;70;19,59448
468,4379;66,66666;19,72513
471,4426;66,66666;19,59942
474,4442;63,33333;19,47542
477,4451;63,33333;19,35301
480,4469;63,33333;19,23209
483,4477;63,33333;19,11272
486,4488;60;18,99481
489,4493;60;18,87836
492,4503;60;18,76331
495,4518;66,66666;18,89185
498,4523;66,66666;18,77813
501,4536;63,33333;18,66574
504,4541;63,33333;18,79259
507,4575;66,66666;18,91784
510,4601;70;19,27673
513,4638;70;19,39767
516,4673;70;19,28486
519,4706;70;20,09738
522,4732;70;19,98189
525,4745;70;20,32449
528,4774;70;20,43607
531,4808;70;20,54637
534,4838;66,66666;20,43093
537,4867;66,66666;20,31678
540,4871;63,33333;20,204
543,4874;63,33333;20,09246
546,4918;63,33333;20,20158
549,4952;63,33333;20,09117
552,4996;60;20,19911
555,5027;60;20,08991
558,5065;60;20,41158
561,5077;63,33333;20,51619
564,5096;66,66666;20,61967
567,5128;66,66666;20,51055
570,5168;66,66666;20,40256
573,5207;70;20,29569
576,5228;70;20,39815
579,5255;70;20,49953
582,5284;70;20,39386
585,53;70;20,6992
588,5352;70;20,7974
591,5397;66,66666;20,89462
594,5428;70;20,78908
597,5464;70;20,68459
600,5518;66,66666;20,58108
