seed;1425475295
size;74,92971;198,2944
number of AGVs;30
number of APs;15
number of obstacles;91

Logs:
2,995689;96,66666;0
6,008508;96,66666;0
9,018416;96,66666;0
12,02613;90;0
15,04331;90;0
18,05211;90;0
21,06704;90;0
24,08991;90;0
27,1033;90;0
30,1292;90;0
33,13415;90;0
36,24157;90;0
39,25223;90;0
42,25251;90;0
45,25851;93,33334;0
48,27528;86,66666;0
51,27607;83,33334;0
54,30627;83,33334;0
57,31913;83,33334;0
60,35735;83,33334;0
63,37406;83,33334;0
66,37466;83,33334;0
69,39522;83,33334;0
72,40118;83,33334;0
75,41887;83,33334;0
78,42172;80;0
81,4283;80;0
84,43974;86,66666;2,842263
87,45848;86,66666;4,116239
90,49642;86,66666;3,978058
93,5314;86,66666;3,848975
96,53523;83,33334;4,972278
99,53893;83,33334;4,822234
102,5623;80;4,68008
105,572;80;5,683325
108,5834;83,33334;5,525706
111,5916;80;5,37675
114,6058;83,33334;6,282405
117,6102;83,33334;6,121919
120,6124;83,33334;5,969536
123,6207;80;5,824265
126,6292;80;5,685893
129,6318;76,66666;5,554191
132,647;76,66666;5,427941
135,6687;73,33334;5,307046
138,6789;73,33334;5,191848
141,7017;73,33334;5,927947
144,7147;76,66666;6,633742
147,7243;80;7,310916
150,7529;80;7,960048
153,7691;80;7,803909
156,7692;80;7,654566
159,7811;76,66666;8,2613
162,7875;76,66666;8,108732
165,7889;76,66666;7,961934
168,7897;76,66666;8,531327
171,7981;73,33334;9,080428
174,8151;73,33334;9,610154
177,8355;73,33334;9,446932
180,8499;73,33334;10,61654
183,8733;73,33334;11,09459
186,896;73,33334;10,91516
189,9101;76,66666;12,00568
192,9158;73,33334;11,81863
195,9161;73,33334;11,63763
198,9431;73,33334;12,06375
201,9532;73,33334;11,88394
204,9679;73,33334;12,29461
207,9699;73,33334;13,27115
210,9882;73,33334;13,65005
213,9966;70;13,45816
217,0132;70;14,37701
220,0207;70;14,72589
223,0356;70;14,52683
226,0413;73,33334;14,86454
229,0424;73,33334;14,66977
232,0512;73,33334;14,47956
235,0616;70;14,29413
238,068;73,33334;14,11361
241,0846;73,33334;13,93701
244,095;73,33334;14,25674
247,0976;76,66666;14,0835
250,1175;76,66666;13,91346
253,1248;76,66666;13,74816
256,1346;76,66666;14,05511
259,1418;76,66666;14,35507
262,1502;76,66666;14,19034
265,1571;76,66666;14,93454
268,1585;76,66666;15,21488
271,1788;76,66666;15,48794
274,1876;76,66666;15,31798
277,1882;76,66666;15,58508
280,1884;76,66666;15,84648
283,2037;73,33334;16,10148
286,2097;76,66666;15,93237
289,2168;73,33334;16,18163
292,2178;70;16,01545
295,2305;70;16,25848
298,2554;66,66666;16,09359
301,2643;70;16,33118
304,2852;70;16,16904
307,3076;73,33334;16,40051
310,3271;70;16,62761
313,3475;73,33334;16,8503
316,3662;76,66666;16,68952
319,3795;73,33334;16,90779
322,3797;73,33334;17,4949
325,391;73,33334;17,70178
328,3925;73,33334;17,9054
331,4145;73,33334;17,74213
334,4216;70;17,94143
337,4263;73,33334;17,78166
340,4392;73,33334;17,62429
343,4397;73,33334;17,47031
346,4596;73,33334;17,31803
349,4819;73,33334;17,16827
352,4962;73,33334;18,38318
355,5156;73,33334;18,22705
358,5273;73,33334;18,07393
361,5471;73,33334;17,92298
364,5493;73,33334;18,43372
367,5711;70;18,60865
370,5914;70;18,78079
373,5982;70;18,95084
376,6255;73,33334;18,79852
379,636;73,33334;18,64944
382,6412;76,66666;19,13019
385,6473;80;19,29224
388,6645;76,66666;19,14247
391,6664;76,66666;18,99575
394,6832;76,66666;19,1546
397,7056;76,66666;19,00904
400,7173;76,66666;18,86617
403,7178;76,66666;18,72595
406,7371;76,66666;18,58694
409,7407;76,66666;18,74356
412,7584;76,66666;18,89725
415,7625;76,66666;18,76071
418,7658;76,66666;19,19928
421,7848;76,66666;19,06185
424,7878;76,66666;19,20959
427,7921;76,66666;19,07468
430,8094;73,33334;18,94109
433,816;73,33334;18,80982
436,8214;73,33334;18,95512
439,8238;73,33334;19,3714
442,8251;73,33334;19,2401
445,8311;73,33334;19,37954
448,8492;73,33334;19,24923
451,8504;73,33334;19,12137
454,8662;73,33334;19,25841
457,8818;73,33334;19,65573
460,8965;73,33334;19,78753
463,9066;73,33334;19,65913
466,9069;73,33334;19,5328
469,9295;76,66666;19,40717
472,9443;76,66666;19,53718
475,9603;76,66666;19,66551
478,9687;80;19,79253
481,9746;80;20,16704
484,9963;76,66666;20,04139
488,0079;83,33334;19,91771
491,0348;83,33334;19,79493
494,0392;76,66666;19,67455
497,0612;73,33334;19,55494
500,0704;73,33334;19,9172
503,0924;73,33334;19,79756
506,0997;63,33333;20,15413
509,1114;70;20,03491
512,1259;73,33334;19,91698
515,132;73,33334;19,80075
518,1428;73,33334;20,14889
521,152;73,33334;20,03254
524,1549;73,33334;19,91778
527,1751;73,33334;20,25892
530,2089;73,33334;20,36933
533,228;73,33334;20,47905
536,2517;73,33334;20,36357
539,2584;76,66666;20,25003
542,2672;76,66666;20,35897
545,2798;80;20,24649
548,2811;80;20,13566
551,2891;80;20,02579
554,3663;80;20,1311
557,3727;80;20,4531
560,3859;80;20,34312
563,3989;80;20,66031
566,4097;80;20,97422
569,4155;80;20,8635
572,4406;80;20,75324
575,4417;76,66666;20,85355
578,4568;76,66666;20,74485
581,4785;76,66666;20,84342
584,4979;76,66666;20,73574
587,5199;76,66666;21,24183
590,5217;76,66666;21,54027
593,544;73,33334;21,83494
596,5499;73,33334;21,72492
599,5667;73,33334;21,81576
602,5712;76,66666;21,90613
605,5764;80;21,79741
608,5959;83,33334;21,68927
611,6105;83,33334;21,58236
614,6138;80;21,4769
617,6271;80;21,37212
620,6318;80;21,462
623,6341;80;21,35868
626,6362;80;21,25635
629,6639;80;21,34472
632,6875;76,66666;21,24271
635,704;76,66666;21,33068
638,7188;76,66666;21,23
641,7409;76,66666;21,50401
644,7501;76,66666;21,40364
647,7719;76,66666;21,3038
650,7933;76,66666;21,20489
653,7968;76,66666;21,29102
656,8096;76,66666;21,37606
659,8245;76,66666;21,46025
662,8442;73,33334;21,36249
